Name,Datatype_Short,Datatype,Description,Theory level,#datapoints,RMS energy(kcal/mol),min,max,year for last update,MGCDB84,GMTKN55,Error(kcal/mol) estimation from original paper
BH28,BH,Barrier Height,"Highly accurate subset chosen from BHPERI, CRBH20, BHDIV10, and PX13 sets",W3lite-F12,28.0,35.1841771849604,0.717017425439918,65.5592731857534,2019,,,0.22 on DBH24
BH46,BH,Barrier Height,"Barrier heights of hydrogen transfer, heavy atom transfer, nucleophilic substitution, unimolecular and association reactions. This set comprises the remaining data points from BH76 after excluding those included in DBH22.",W2-F12,46.0,25.2101489833178,-12.300008984006,104.800079276064,2017,"HTBH38, NHTBH38",BH76,
BH876,BH,Barrier Height,Comprehensive reaction barrier heights,HF/a[TQ]Z+MP2/a[TQ]Z+DLPNO-CCSD(T) /aTZ/tight,876.0,26.9992811428127,-96.2599997565051,144.39,2022,,,
BHDIV7,BH,Barrier Height,Diverse reaction barrier heights,"W1-F12,W2-F12",7.0,48.7746943925477,13.640010285179,96.1700726287965,2017,,BHDIV10,
BHPERI11,BH,Barrier Height,Barrier heights of pericyclic reactions,"W1-F12,W2-F12",11.0,23.0043252508954,14.5000107643592,31.3000238463674,2015,BHPERI26 ,BHPERI,
BHROT27,BH,Barrier Height,Barrier heights for rotation around single bonds,"W1-F12,W2-F12",27.0,8.06240920523212,1.01000097136906,17.240013312577,2017,,BHROT27,
CRBH14,BH,Barrier Height,Barrier heights for cycloreversion of heterocyclic rings ,W1-F12 and W1w,14.0,45.8495196891599,33.712027192494,52.4170498510999,2015,CRBH20 ,,
DBH22,BH,Barrier Height,Highly accurate subset of BH76 ,W4,22.0,29.2211625191144,-2.39999971739726,82.1399968069566,2008,DBH24 ,,
INV23,BH,Barrier Height,Inversion/Racemization barrier heights,"W1-F12,W2-F12, DLPNO-CCSD(T)/TightPNO/CBS(def2-[TQ]ZVPP)",23.0,36.573764915523,4.10000320383848,74.2000560532185,2017,,INV24,
ORBH35,BH,Barrier Height,"Difficult barrier heights for oxygen reactions (e.g., vinylperoxy radical and CO3)",W3X-L,35.0,32.856937285003,-0.958646223521462,76.6913194935041,2018,,,
PX9,BH,Barrier Height,"Proton-exchange barriers in H2O, NH3, and HF clusters",W1-F12,9.0,38.8694118833131,16.6000126349263,59.300045022205,2012,PX13,PX13,
WCPT26,BH,Barrier Height,Barrier heights of water-catalyzed proton-transfer reactions,"W2.2, W1",26.0,36.1134704590395,-6.38145320388685,70.100379781816,2012,WCPT27,WCPT18,
Dip146,EF,Electric field,Dipole moments (including individual components) for 146 small systems at equilibrium,CCSD(T)/aCV[TQ]Z or aCV[Q5]Z,190.0,0.121440679128376,-0.444741064645284,0.334249823962274,2018,,,
HR46,EF,Electric field,Static polarizabilities (including individual components) for 46 systems at equilibrium,FPA-a[DT]Z to FPA-a[Q5]Z,128.0,0.472500475972862,0.0823097902029761,1.07959114453284,2023,,,
OEEF,EF,Electric field,Relative energies in oriented external electric fields compared to zero field,CCSD(T)/aQZ,136.0,18.0232256601784,-77.5165107671393,18.8781983306906,2023,,,
Pol130,EF,Electric field,Static polarizabilities (including individual components) for 130 small systems at equilibrium,CCSD(T)/aCV[TQ]Z or aCV[Q5]Z,296.0,1.63556939255782,0.0161339929814757,4.53022181672559,2018,,,
T144,EF,Electric field,Static polarizabilities (including individual components) for 144 systems at equilibrium,FPA-a[DT]Z to FPA-a[TQ]Z,421.0,0.690007338083513,0.145373237327058,1.8484992109112,2023,,,
V30,FREQ,Frequency,"Frequencies of small molecular dimers with different polarity combinations (polar-polar, polar-nonpolar, and nonpolar-nonpolar).",CCSD(T)/haQZ,275.0,0.000600484032086535,6.99836216040156e-06,0.00144233052612691,2022,,,
ACONF,INC,Intramolecular Noncovalent,Isomerization energies of alkane conformers ,W1h-val,15.0,2.23280707213216,0.595000718246848,4.92500371459359,2009,ACONF,ACONF,
Amino20x4,INC,Intramolecular Noncovalent,Isomerization energies of amino acid conformers,MP2-F12/TZ-F12 + CCSD(Ts)-F12b/DZ-F12,80.0,2.97975006810852,0.057981875403144,7.37000527392306,2016,"CYCONF, YMPJ519 ",AMINO20x4,
BUT14DIOL,INC,Intramolecular Noncovalent,"Isomerization energies of butane-1,4-diol conformers",W1-F12,64.0,2.91127069733273,0.149999864679302,4.70000329006516,2017,Butanediol165,BUT14DIOL,
ICONF,INC,Intramolecular Noncovalent,Isomerization energies in conformers of inorganic systems,W1-F12,17.0,4.54055466449991,0.0999999097862016,12.1600091103053,2017,,ICONF,
IDISP,INC,Intramolecular Noncovalent,Intramolecular dispersion interactions,DLPNO-CCSD(T)/aug-cc-pV[TQ]Z,6.0,25.228198346573,-60.2800453931287,9.10000685077172,2017,,IDISP,
